Date,股票代號,股票名稱,持有股數,權重
2026-01-08,2330,台灣積體電路製造,524000,9.26
2026-01-08,2317,鴻海精密工業,1719000,4.14
2026-01-08,2308,台達電子工業,380000,4.02
2026-01-08,6669,緯穎科技服務,68000,3.31
2026-01-08,2454,聯發科技,207000,3.14
2026-01-08,2368,金像電子（股）公司,414000,2.74
2026-01-08,3017,奇鋐科技,192000,2.73
2026-01-08,2059,川湖科技,81000,2.68
2026-01-08,2344,華邦電子,2288000,2.6
2026-01-08,2891,中國信託金融控股,4911000,2.54
2026-01-08,2881,富邦金融控股,2424575,2.47
2026-01-08,2382,廣達電腦,862000,2.47
2026-01-08,2345,智邦科技,184000,2.44
2026-01-08,8210,勤誠興業,253000,2.44
2026-01-08,3665,貿聯控股（BizLink Holding In,153336,2.27
2026-01-08,5439,高技企業,624000,2.04
2026-01-08,2383,台光電子材料,119000,1.93
2026-01-08,2408,南亞科技,756000,1.91
2026-01-08,3231,緯創資通,1179000,1.87
2026-01-08,6274,台燿科技,375000,1.84
2026-01-08,2884,玉山金融控股,5332622,1.83
2026-01-08,2360,致茂電子,186000,1.8
2026-01-08,3044,健鼎科技,514000,1.71
2026-01-08,6442,光紅建聖,119000,1.66
2026-01-08,3653,健策精密工業,63000,1.61
2026-01-08,3036,文曄科技,1032000,1.57
2026-01-08,1519,華城電機,200000,1.54
2026-01-08,6223,旺矽科技,68000,1.51
2026-01-08,6805,富世達,99000,1.42
2026-01-08,2449,京元電子,468000,1.29
2026-01-08,5234,達興材料,329000,1.27
2026-01-08,6515,穎崴科技,38000,1.26
2026-01-08,3293,鈊象電子,138000,1.06
2026-01-08,2027,大成不銹鋼工業,2598000,0.98
2026-01-08,1590,亞德客國際集團,87000,0.9
2026-01-08,5434,崇越科技,283000,0.89
2026-01-08,4749,新應材,92000,0.88
2026-01-08,6510,中華精測科技,36000,0.83
2026-01-08,6121,新普科技,218000,0.83
2026-01-08,2376,技嘉科技,319000,0.82
2026-01-08,5904,寶雅國際,173450,0.81
2026-01-08,3526,凡甲科技,310000,0.8
2026-01-08,4915,致伸科技,968000,0.78
2026-01-08,1504,東元電機,897000,0.77
2026-01-08,3661,世芯電子,17000,0.64
2026-01-08,2379,瑞昱半導體,111000,0.62
2026-01-08,6584,南俊國際,162000,0.55
2026-01-08,8114,振樺電子,275000,0.51
2026-01-08,6811,宏碁資訊服務,133000,0.29
2026-01-08,6561,是方電訊,51000,0.19
2026-01-08,3211,順達科技,52000,0.17
2026-01-09,2330,台灣積體電路製造,524000,9.24
2026-01-09,2317,鴻海精密工業,1719000,4.16
2026-01-09,2308,台達電子工業,380000,4.05
2026-01-09,2454,聯發科技,207000,3.09
2026-01-09,6669,緯穎科技服務,68000,3.03
2026-01-09,2059,川湖科技,81000,2.82
